algo_a,algo_b,entrance_a,seed,winner,a_moves,b_moves,a_waits,b_waits,a_items_collected,b_items_collected,a_efficiency,b_efficiency,move_margin,a_items_left,a_items_right,b_items_left,b_items_right,a_distribution,b_distribution,a_cross_cluster_trips,b_cross_cluster_trips,a_t_corridor_visits,a_b_corridor_visits,b_t_corridor_visits,b_b_corridor_visits,a_bottleneck_visits,b_bottleneck_visits,a_detour_ratio,b_detour_ratio,a_aisle_A1,a_aisle_A2,a_aisle_A4,a_aisle_A5,b_aisle_A1,b_aisle_A2,b_aisle_A4,b_aisle_A5,a_blocks_caused,b_blocks_caused,a_blocked_at_bottleneck,b_blocked_at_bottleneck,a_trap_attempts,a_trap_successes,b_trap_attempts,b_trap_successes,a_total_search_calls,a_total_nodes_expanded,a_avg_nodes_per_call,a_max_frontier,a_search_time_us,a_avg_time_per_call_us,b_total_search_calls,b_total_nodes_expanded,b_avg_nodes_per_call,b_max_frontier,b_search_time_us,b_avg_time_per_call_us,a_avg_nodes_per_move,b_avg_nodes_per_move,game_time_us,total_turns,game_id,trial
BFS,DFS,Top,43,A,9,8,0,0,12,8,1.3333,1.5,1,4,8,8,4,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,2,1,1,0,1,1,1,0,0,0,0,7,0,6,0,157,3532,22.5,6,3361.3,21.41,168,3212,19.12,8,3526.9,20.99,228.0,232.0,8595.8,8,1,1
BFS,DFS,Top,44,A,9,8,0,0,12,6,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,0,4,0,0,3,1,0,1.0,1.0,1,1,2,1,0,0,1,1,0,0,0,0,9,2,5,0,133,2080,15.64,6,23363.4,175.66,191,3293,17.24,8,3313.3,17.35,139.6,212.9,28354.3,8,2,2
BFS,DFS,Top,45,A,9,8,0,0,12,9,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,2,1,1,0,1,1,1,0,0,0,0,7,0,6,0,147,3225,21.94,6,3184.0,21.66,155,2872,18.53,8,2781.4,17.94,211.0,208.5,7438.9,8,3,3
BFS,DFS,Top,46,A,9,8,0,0,12,8,1.3333,1.5,1,7,5,5,7,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,2,1,1,0,1,1,1,0,0,0,0,7,0,6,0,117,2361,20.18,6,2322.0,19.85,136,2315,17.02,8,2293.1,16.86,160.1,171.1,5887.3,8,4,4
BFS,DFS,Top,47,A,9,8,0,0,12,11,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,1,2,1,1,1,1,0,0,0,0,0,7,0,6,0,127,2533,19.94,6,2466.3,19.42,129,2065,16.01,8,2071.1,16.06,173.1,149.1,5809.8,8,5,5
BFS,DFS,Top,48,A,9,8,0,0,12,10,1.3333,1.5,1,7,5,5,7,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,1,2,1,1,1,1,0,0,0,0,0,7,0,6,0,149,3093,20.76,6,3012.0,20.21,154,2549,16.55,8,2433.5,15.8,203.2,181.5,6871.9,8,6,6
BFS,DFS,Top,49,A,9,8,0,0,12,10,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,1,4,0,0,3,1,0,1.0,1.0,1,1,2,1,1,1,1,0,0,0,0,0,7,0,6,0,133,2610,19.62,6,2537.5,19.08,146,2406,16.48,8,2304.0,15.78,175.1,172.8,6187.6,8,7,7
BFS,DFS,Top,50,A,9,8,0,0,12,6,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,0,4,0,0,3,1,0,1.0,1.0,1,1,2,1,0,0,1,1,0,0,0,0,9,2,5,0,133,2224,16.72,6,2199.9,16.54,195,3443,17.66,8,3349.5,17.18,147.3,222.6,7151.5,8,8,8
BFS,DFS,Top,51,A,9,8,0,0,12,7,1.3333,1.5,1,8,4,4,8,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,1,2,1,1,1,1,0,0,0,0,0,7,0,6,0,157,3414,21.75,6,3208.3,20.43,167,2769,16.58,8,2716.7,16.27,220.2,196.4,7407.9,8,9,9
BFS,DFS,Top,52,A,9,8,0,0,12,8,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,2,1,1,0,1,1,1,0,0,0,0,7,0,6,0,147,3305,22.48,6,3089.0,21.01,154,2833,18.4,8,2800.0,18.18,215.6,205.9,7325.0,8,10,10
